name,category,description,compatibility,tools,mcp_servers,repo,license
scrum-master-frontend,frontend,"Expert Scrum Master specializing in agile transformation, team facilitation, and continuous improvement. Masters Scrum f",needs-tool-mapping,read_file|write_file|web_fetch|web_search,,ankitmundada/awesome-gemini-cli-subagents,MIT
semmelweis,frontend,Ignaz Semmelweis reasoning pattern — detect statistical anomalies between matched groups,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
senior-developer,frontend,"Premium implementation specialist - Masters Laravel/Livewire/FluxUI, advanced CSS, Three.js integration",fully-compatible,,,Raheel2774/agency-agents,MIT
senior-project-manager,frontend,"Converts specs to tasks and remembers previous projects. Focused on realistic scope, no background processes, exact spec",fully-compatible,,,Raheel2774/agency-agents,MIT
seo-authority-builder,frontend,Analyzes content for E-E-A-T signals and suggests improvements to build authority and trust. Identifies missing credibil,fully-compatible,,,wshobson/agents,MIT
seo-specialist,frontend,"Expert search engine optimization strategist specializing in technical SEO, content optimization, link authority buildin",fully-compatible,web_fetch|web_search|read_file|write_file|edit_file,,Raheel2774/agency-agents,MIT
session-start,frontend,"Use at the start of every work session. Reads the canonical state doc, verifies live state, reconciles drift from extern",fully-compatible,read_file|run_shell_command|edit_file,,wshobson/agents,MIT
shannon,frontend,"Claude Shannon reasoning pattern — find the right quantity before theorizing, separate source/channel/code",requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
short-video-editing-coach,frontend,"Hands-on short-video editing coach covering the full post-production pipeline, with mastery of CapCut Pro, Premiere Pro,",fully-compatible,,,Raheel2774/agency-agents,MIT
simon,frontend,"Herbert Simon reasoning pattern — bounded rationality, satisficing under uncertainty",requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
simplifier,frontend,"Proactively de-over-engineer code — remove superfluous complexity, needless indirection, premature abstraction, and spec",requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
sns-expert,frontend,Master of Amazon Simple Notification Service (SNS) for message management and notification solutions. Expertise includes,fully-compatible,,,0xfurai/claude-code-subagents,MIT
social-media-strategist,frontend,"Expert social media strategist for LinkedIn, Twitter, and professional platforms. Creates cross-platform campaigns, buil",fully-compatible,web_fetch|web_search|read_file|write_file|edit_file,,Raheel2774/agency-agents,MIT
solidjs-expert,frontend,SolidJS expert specializing in creating efficient and reactive UI components using SolidJS.,fully-compatible,,,0xfurai/claude-code-subagents,MIT
solo-founder,frontend,"Your co-founder who doesn't exist yet. Covers product, engineering, marketing, and strategy for one-person startups — be",fully-compatible,read_file|write_file|run_shell_command|grep|glob,,alirezarezvani/claude-skills,MIT
solution-engineer,frontend,"Hands-on GIS prototype builder who takes strategy from Technical Consultant and turns it into working demos, proof-of-co",fully-compatible,,,Raheel2774/agency-agents,MIT
sound-designer,frontend,"The Sound Designer creates detailed specifications for sound effects, documents audio events, and defines mixing paramet",fully-compatible,read_file|glob|grep|write_file|edit_file,,Donchitos/Claude-Code-Game-Studios,MIT
spring-boot-engineer,frontend,"Expert Spring Boot engineer mastering Spring Boot 3+ with cloud-native patterns. Specializes in microservices, reactive ",needs-tool-mapping,read_file|write_file|run_shell_command|edit_file|glob|grep,,ankitmundada/awesome-gemini-cli-subagents;VoltAgent/awesome-claude-code-subagents,MIT;MIT
sqs-expert,frontend,"Expertise in Amazon SQS for reliable, scalable message queuing.",fully-compatible,,,0xfurai/claude-code-subagents,MIT
strauss,frontend,"Strauss/Charmaz reasoning pattern — build theory from qualitative data through open coding, constant comparison, and the",requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
supply-chain-strategist,frontend,"Expert supply chain management and procurement strategy specialist — skilled in supplier development, strategic sourcing",fully-compatible,,,Raheel2774/agency-agents,MIT
svelte-expert,frontend,"Master Svelte.js development with a focus on building performant, maintainable, and idiomatic Svelte applications. Speci",fully-compatible,,,0xfurai/claude-code-subagents,MIT
svelte-pro,frontend,"Expert in Svelte 5 runes and SvelteKit. Use for Svelte components, stores, SSR data loading, and migrations from Svelte ",needs-tool-mapping,read_file|glob|write_file|run_shell_command,,JosephHampton/awesome-gemini-cli-subagents,NOASSERTION
swiftui-expert,frontend,"Expert in SwiftUI development, focusing on building dynamic, responsive, and maintainable applications for Apple platfor",fully-compatible,,,0xfurai/claude-code-subagents,MIT
symfony-specialist,frontend,"Use when building Symfony 6+/7+/8+ applications, architecting Doctrine ORM entities with complex relationships, implemen",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep,,VoltAgent/awesome-claude-code-subagents,MIT
systems-designer,frontend,"The Systems Designer creates detailed mechanical designs for specific game subsystems -- combat formulas, progression cu",fully-compatible,read_file|glob|grep|write_file|edit_file,,Donchitos/Claude-Code-Game-Studios,MIT
tailwind-expert,frontend,"Expert in Tailwind CSS for efficient and responsive styling of web projects, utilizing utility-first approaches and resp",fully-compatible,,,0xfurai/claude-code-subagents,MIT
tauri-expert,frontend,Expert in Tauri for building cross-platform desktop applications leveraging web technologies.,fully-compatible,,,0xfurai/claude-code-subagents,MIT
team-implementer,frontend,"Parallel feature builder that implements components within strict file ownership boundaries, coordinating at integration",needs-tool-mapping,read_file|write_file|edit_file|glob|grep|run_shell_command|todo,,wshobson/agents,MIT
tiktok-strategist,frontend,"Expert TikTok marketing specialist focused on viral content creation, algorithm optimization, and community building. Ma",fully-compatible,,,Raheel2774/agency-agents,MIT
tooling-engineer,frontend,"Expert tooling engineer specializing in developer tool creation, CLI development, and productivity enhancement. Masters ",needs-tool-mapping,read_file|write_file|run_shell_command|edit_file|glob|grep,,ankitmundada/awesome-gemini-cli-subagents;VoltAgent/awesome-claude-code-subagents,MIT;MIT
toulmin,frontend,"Stephen Toulmin reasoning pattern — lay out an argument's claim, data, warrant, backing, qualifier, and rebuttal explici",requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
turing,frontend,Alan Turing reasoning pattern — reduce to the simplest mechanism that computes the thing,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
twitter-engager,frontend,"Expert Twitter marketing specialist focused on real-time engagement, thought leadership building, and community-driven g",fully-compatible,,,Raheel2774/agency-agents,MIT
typescript-pro-frontend,frontend,"A TypeScript expert who architects, writes, and refactors scalable, type-safe, and maintainable applications for Node.js",requires-mcp,read_file|write_file|edit_file|grep|glob|run_shell_command|list_dir|web_fetch|web_search|mcp__context7__resolve-library-id|mcp__context7__get-library-docs|mcp__sequential-thinking__sequentialthinking,context7|sequential-thinking,lst97/claude-code-sub-agents;VoltAgent/awesome-claude-code-subagents;ankitmundada/awesome-gemini-cli-subagents,MIT;MIT;MIT
ue-umg-specialist,frontend,"The UMG/CommonUI specialist owns all Unreal UI implementation: widget hierarchy, data binding, CommonUI input routing, w",needs-tool-mapping,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
ui-designer,frontend,"Expert UI designer specializing in visual design systems, component libraries, and pixel-perfect interface creation. Cre",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep|list_dir|web_search|web_fetch|todo|mcp__magic__21st_magic_component_builder|mcp__magic__21st_magic_component_refiner|mcp__context7__resolve-library-id|mcp__context7__get-library-docs,magic|context7,Raheel2774/agency-agents;VoltAgent/awesome-claude-code-subagents;ankitmundada/awesome-gemini-cli-subagents;VoltAgent/awesome-codex-subagents;lst97/claude-code-sub-agents;wshobson/agents,MIT;MIT;MIT;MIT;MIT;MIT
ui-fixer,frontend,Use when a UI issue is already reproduced and the parent agent wants the smallest safe patch.,fully-compatible,,,VoltAgent/awesome-codex-subagents,MIT
ui-programmer,frontend,"The UI Programmer implements user interface systems: menus, HUDs, inventory screens, dialogue boxes, and UI framework co",fully-compatible,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
ui-ux-designer,frontend,"Create interface designs, wireframes, and design systems. Masters user research, accessibility standards, and modern des",fully-compatible,,,wshobson/agents,MIT
ui-ux-tester,frontend,"Use this agent when you need exhaustive UI and UX functionality testing driven by documented user flows, with browser or",needs-tool-mapping,read_file|write_file|edit_file|run_shell_command|glob|grep|web_search,,VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents,MIT;MIT
ui-visual-validator,frontend,"Rigorous visual validation expert specializing in UI testing, design system compliance, and accessibility verification. ",fully-compatible,,,wshobson/agents,MIT
unity-ui-specialist,frontend,"The Unity UI specialist owns all Unity UI implementation: UI Toolkit (UXML/USS), UGUI (Canvas), data binding, runtime UI",needs-tool-mapping,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
unreal-world-builder,frontend,"Open-world and environment specialist - Masters UE5 World Partition, Landscape, procedural foliage, HLOD, and large-scal",fully-compatible,,,Raheel2774/agency-agents,MIT
ux-architect,frontend,"Technical architecture and UX specialist who provides developers with solid foundations, CSS systems, and clear implemen",fully-compatible,,,Raheel2774/agency-agents,MIT
ux-designer,frontend,"UX/UI designer focused on usability, accessibility, information architecture, and design systems",requires-mcp,read_file|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes|write_file|edit_file|run_shell_command|list_dir|todo|mcp__context7__resolve-library-id|mcp__context7__get-library-docs|mcp__sequential-thinking__sequentialthinking|mcp__playwright__browser_navigate|mcp__playwright__browser_snapshot,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect|context7|sequential-thinking|playwright,cdeust/zetetic-team-subagents;Donchitos/Claude-Code-Game-Studios;lst97/claude-code-sub-agents,MIT;MIT;MIT
ux-researcher,frontend,"Expert user experience researcher specializing in user behavior analysis, usability testing, and data-driven design insi",fully-compatible,read_file|grep|glob|web_fetch|web_search,,Raheel2774/agency-agents;VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents;ankitmundada/awesome-gemini-cli-subagents,MIT;MIT;MIT;MIT
vibe-coding-coach,frontend,"Use this agent when users want to build applications through conversation, focusing on the vision and feel of their app ",fully-compatible,,,iannuttall/claude-agents,MIT
visionos-spatial-engineer,frontend,"Native visionOS spatial computing, SwiftUI volumetric interfaces, and Liquid Glass design implementation",fully-compatible,,,Raheel2774/agency-agents,MIT
vue-expert,frontend,"Expert Vue specialist mastering Vue 3 with Composition API and ecosystem. Specializes in reactivity system, performance ",needs-tool-mapping,read_file|write_file|run_shell_command|edit_file|glob|grep,,ankitmundada/awesome-gemini-cli-subagents;VoltAgent/awesome-claude-code-subagents;0xfurai/claude-code-subagents;VoltAgent/awesome-codex-subagents,MIT;MIT;MIT;MIT
vue-pro,frontend,"Expert in Vue 3, the Composition API, and Pinia. Use for Vue components, reactivity design, Nuxt applications, and migra",needs-tool-mapping,read_file|glob|write_file|run_shell_command,,JosephHampton/awesome-gemini-cli-subagents,NOASSERTION
vygotsky,frontend,Lev Vygotsky reasoning pattern — design scaffolding within the learner's zone of proximal development and fade it as com,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
wechat-official-account-manager,frontend,"Expert WeChat Official Account (OA) strategist specializing in content marketing, subscriber engagement, and conversion ",fully-compatible,,,Raheel2774/agency-agents,MIT
whimsy-injector,frontend,"Expert creative specialist focused on adding personality, delight, and playful elements to brand experiences. Creates me",fully-compatible,,,Raheel2774/agency-agents,MIT
world-builder,frontend,"The World Builder designs detailed world lore: factions, cultures, history, geography, ecology, and the rules that gover",fully-compatible,read_file|glob|grep|write_file|edit_file,,Donchitos/Claude-Code-Game-Studios,MIT
xr-cockpit-interaction-specialist,frontend,Specialist in designing and developing immersive cockpit-based control systems for XR environments,fully-compatible,,,Raheel2774/agency-agents,MIT
zhihu-strategist,frontend,"Expert Zhihu marketing specialist focused on thought leadership, community credibility, and knowledge-driven engagement.",fully-compatible,,,Raheel2774/agency-agents,MIT
zhuangzi,frontend,Zhuangzi reasoning pattern — questioning evaluation criteria themselves,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
community-manager,game-development,"The community manager owns player-facing communication: patch notes, social media posts, community updates, player feedb",needs-tool-mapping,read_file|glob|grep|write_file|edit_file,,Donchitos/Claude-Code-Game-Studios,MIT
game-audio-engineer,game-development,"Interactive audio specialist - Masters FMOD/Wwise integration, adaptive music systems, spatial audio, and audio performa",fully-compatible,,,Raheel2774/agency-agents,MIT
game-designer-game-development,game-development,"Systems and mechanics architect - Masters GDD authorship, player psychology, economy balancing, and gameplay loop design",fully-compatible,,,Raheel2774/agency-agents,MIT
game-developer,game-development,"Use this agent when implementing game systems, optimizing graphics rendering, building multiplayer networking, or develo",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep,,VoltAgent/awesome-claude-code-subagents;JosephHampton/awesome-gemini-cli-subagents;VoltAgent/awesome-codex-subagents;ankitmundada/awesome-gemini-cli-subagents,MIT;NOASSERTION;MIT;MIT
gameplay-programmer,game-development,"The Gameplay Programmer implements game mechanics, player systems, combat, and interactive features as code. Use this ag",fully-compatible,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
godot-csharp-specialist,game-development,"The Godot C# specialist owns all C# code quality in Godot 4 projects: .NET patterns, attribute-based exports, signal del",needs-tool-mapping,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
godot-gameplay-scripter,game-development,"Composition and signal integrity specialist - Masters GDScript 2.0, C# integration, node-based architecture, and type-sa",fully-compatible,,,Raheel2774/agency-agents,MIT
godot-gdextension-specialist,game-development,"The GDExtension specialist owns all native code integration with Godot: GDExtension API, C/C++/Rust bindings (godot-cpp,",needs-tool-mapping,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
godot-gdscript-specialist,game-development,"The GDScript specialist owns all GDScript code quality: static typing enforcement, design patterns, signal architecture,",needs-tool-mapping,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
godot-multiplayer-engineer,game-development,"Godot 4 networking specialist - Masters the MultiplayerAPI, scene replication, ENet/WebRTC transport, RPCs, and authorit",fully-compatible,,,Raheel2774/agency-agents,MIT
godot-shader-developer,game-development,"Godot 4 visual effects specialist - Masters the Godot Shading Language (GLSL-like), VisualShader editor, CanvasItem and ",fully-compatible,,,Raheel2774/agency-agents,MIT
godot-shader-specialist,game-development,"The Godot Shader specialist owns all Godot rendering customization: Godot shading language, visual shaders, material set",needs-tool-mapping,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
godot-specialist,game-development,"The Godot Engine Specialist is the authority on all Godot-specific patterns, APIs, and optimization techniques. They gui",needs-tool-mapping,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
unity-addressables-specialist,game-development,"The Addressables specialist owns all Unity asset management: Addressable groups, asset loading/unloading, memory managem",needs-tool-mapping,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
unity-developer,game-development,"Build Unity games with optimized C# scripts, efficient rendering, and proper asset management. Masters Unity 6 LTS, URP/",fully-compatible,,,wshobson/agents,MIT
unity-dots-specialist,game-development,The DOTS/ECS specialist owns all Unity Data-Oriented Technology Stack implementation: Entity Component System architectu,needs-tool-mapping,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
unity-multiplayer-engineer,game-development,"Networked gameplay specialist - Masters Netcode for GameObjects, Unity Gaming Services (Relay/Lobby), client-server auth",fully-compatible,,,Raheel2774/agency-agents,MIT
unity-shader-graph-artist,game-development,"Visual effects and material specialist - Masters Unity Shader Graph, HLSL, URP/HDRP rendering pipelines, and custom pass",fully-compatible,,,Raheel2774/agency-agents,MIT
unity-shader-specialist,game-development,"The Unity Shader/VFX specialist owns all Unity rendering customization: Shader Graph, custom HLSL shaders, VFX Graph, re",needs-tool-mapping,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
unity-specialist,game-development,"The Unity Engine Specialist is the authority on all Unity-specific patterns, APIs, and optimization techniques. They gui",needs-tool-mapping,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
unreal-multiplayer-architect,game-development,"Unreal Engine networking specialist - Masters Actor replication, GameMode/GameState architecture, server-authoritative g",fully-compatible,,,Raheel2774/agency-agents,MIT
unreal-specialist,game-development,"The Unreal Engine Specialist is the authority on all Unreal-specific patterns, APIs, and optimization techniques. They g",needs-tool-mapping,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
unreal-systems-engineer,game-development,"Performance and hybrid architecture specialist - Masters C++/Blueprint continuum, Nanite geometry, Lumen GI, and Gamepla",fully-compatible,,,Raheel2774/agency-agents,MIT
unreal-technical-artist,game-development,"Unreal Engine visual pipeline specialist - Masters the Material Editor, Niagara VFX, Procedural Content Generation, and ",fully-compatible,,,Raheel2774/agency-agents,MIT
vonneumann,game-development,John von Neumann reasoning pattern — formalize a stuck problem and search for a structural isomorphism to an already-sol,requires-mcp,read_file|edit_file|write_file|run_shell_command|glob|grep|web_fetch|web_search|mcp__plugin_hypermnesia-mcp_cortex__unified_search|mcp__plugin_hypermnesia-mcp_cortex__recall|mcp__plugin_hypermnesia-mcp_cortex__remember|mcp__plugin_hypermnesia-mcp_cortex__navigate_memory|mcp__plugin_hypermnesia-mcp_cortex__get_causal_chain|mcp__plugin_hypermnesia-mcp_cortex__memory_stats|mcp__plugin_ai-architect-mcp-codebase_ai-architect__query_graph|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_context|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_symbol|mcp__plugin_ai-architect-mcp-codebase_ai-architect__search_codebase|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_impact|mcp__plugin_ai-architect-mcp-codebase_ai-architect__get_processes,plugin_hypermnesia-mcp_cortex|plugin_ai-architect-mcp-codebase_ai-architect,cdeust/zetetic-team-subagents,MIT
compliance-reviewer,general,라이선스·개인정보·비밀정보 취급이 규정에 맞는지 검토할 때,fully-compatible,read_file|grep|glob,,sodam-ai/SoDam-Agent,Apache-2.0
critic,general,결론을 반증·검증할 때,fully-compatible,read_file,,sodam-ai/SoDam-Agent,Apache-2.0
data-engineer-general,general,데이터를 모으고 정제·변환할 때,fully-compatible,read_file|edit_file|write_file|run_shell_command,,sodam-ai/SoDam-Agent,Apache-2.0
data-viz,general,분석 결과를 차트·보고서로 표현할 때,fully-compatible,read_file|write_file,,sodam-ai/SoDam-Agent,Apache-2.0
deploy-engineer,general,배포 파이프라인을 설계·실행할 때,fully-compatible,read_file|write_file|edit_file|run_shell_command,,sodam-ai/SoDam-Agent,Apache-2.0
fact-checker,general,사실·근거를 확인할 때,fully-compatible,read_file|grep,,sodam-ai/SoDam-Agent,Apache-2.0
localization-specialist,general,번역된 콘텐츠를 문화적 맥락에 맞게 현지화할 때,fully-compatible,read_file|write_file|edit_file,,sodam-ai/SoDam-Agent,Apache-2.0
planner-general,general,요구사항을 작업으로 분해할 때,fully-compatible,read_file|grep|glob,,sodam-ai/SoDam-Agent,Apache-2.0
